# kick   autocorrelator
   0     1.0000
   1    -0.9952
   2     0.9932
   3    -0.9808
   4     0.9804
   5    -0.9666
   6     0.9528
   7    -0.9460
   8     0.9320
   9    -0.9212
  10     0.9026
  11    -0.8992
  12     0.8668
  13    -0.8674
  14     0.8484
  15    -0.8380
  16     0.8148
  17    -0.8176
  18     0.7916
  19    -0.8022
  20     0.7942
  21    -0.7870
  22     0.7898
  23    -0.7826
  24     0.7898
  25    -0.7826
  26     0.7876
  27    -0.7870
  28     0.7918
  29    -0.7860
  30     0.7762
  31    -0.7834
  32     0.7814
  33    -0.7816
  34     0.7806
  35    -0.7808
  36     0.7810
  37    -0.7706
  38     0.7744
  39    -0.7634
  40     0.7616
  41    -0.7610
  42     0.7584
  43    -0.7494
  44     0.7464
  45    -0.7402
  46     0.7426
  47    -0.7364
  48     0.7308
  49    -0.7182
  50     0.7216
  51    -0.7110
  52     0.7180
  53    -0.7142
  54     0.7082
  55    -0.7014
  56     0.7066
  57    -0.7054
  58     0.7144
  59    -0.7036
